Reference, Value, Footprint, Digi-Key_PN
A1,Pololu_Breakout_A4988,Module:Pololu_Breakout-16_15.2x20.3mm,2183-2128-ND
A2,Pololu_Breakout_A4988,Module:Pololu_Breakout-16_15.2x20.3mm,2183-2128-ND
C1,.1 uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1099-2-ND
C10,100 uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1189-1300-ND
C11,100 uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1189-1300-ND
C2,1 uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1066-2-ND
C3,.1 uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1099-2-ND
C4,22 pf,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1047-2-ND
C5,22 pf,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1047-2-ND
C6,.1 uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1099-2-ND
C7,.1 uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1099-2-ND
C8,100 uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1189-1300-ND
C9,330 uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1189-3752-1-ND
D1,LED,LED_THT:LED_D5.0mm,1516-1354-ND
D2,LED,LED_THT:LED_D5.0mm,1516-1354-ND
D3,LED,LED_THT:LED_D5.0mm_Horizontal_O3.81mm_Z9.0mm,1516-1354-ND
D4,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1N5819-TPCT-ND
IC1,AL5809-20P1-7,AL5809-20P1-7:AL580920QP17,AL5809-20S1-7DITR-ND
IC2,VEML7700-TR,VEML7700-TR:VEML7700,VEML7700TR-ND
J1,61300311121,digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm,732-5316-ND
J10,USB_B,Connector_USB:USB_B_Lumberg_2411_02_Horizontal,ED2983-ND
J11,Conn_01x06_Male,Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,WM4204-ND
J12,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,1849-PR20203VBDN-ND
J13,PJ-202A,digikey-footprints:Barrel_Jack_5.5mmODx2.1mmID_PJ-202A,CP-202A-ND
J14,Conn_01x05_Male,Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,WM19457-ND
J2,61300311121,digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm,732-5316-ND
J3,Conn_01x05_Male,Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,WM19457-ND
J4,Conn_01x06_Male,Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,WM4204-ND
J5,OSTTC022162,digikey-footprints:Term_Block_1x2_P5.08MM,ED2609-ND
J6,OSTTC022162,digikey-footprints:Term_Block_1x2_P5.08MM,ED2609-ND
J7,OSTTC042162,digikey-footprints:Term_Block_1x4_P5.08mm,ED2611-ND
J8,OSTTC042162,digikey-footprints:Term_Block_1x4_P5.08mm,ED2611-ND
J9,OSTTC042162,digikey-footprints:Term_Block_1x4_P5.08mm,ED2611-ND
L1,330 uH,Inductor_THT:L_Radial_D12.0mm_P6.00mm_MuRATA_1900R,118-6100-331K-RC-ND
Q1,2N3905,Package_TO_SOT_THT:TO-92_Inline,1514-2N3905PBFREE-ND
Q2,IRF540N,Package_TO_SOT_THT:TO-220-3_Vertical,IRF540NPBF-ND
Q3,FQP47P06,Package_TO_SOT_THT:TO-220-3_Vertical,FQPF47P06FS-ND
Q4,TL2575HV-05IKV,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerEven_Lead3.8mm_Vertical,296-21834-5-ND
R1,330,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,A106061TR-ND
R10,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD10K0TR-ND
R11,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD10K0TR-ND
R2,1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD1K00TR-ND
R3,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD10K0TR-ND
R4,330,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,A106061TR-ND
R5,1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD1K00TR-ND
R6,1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD1K00TR-ND
R7,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD10K0TR-ND
R8,200K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RMCF0805JT200KTR-ND
R9,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RNCP0805FTD10K0TR-ND
S1,GW12RCH,GW12RCH:GW12RCH,360-2801-ND
S2,PEC11R-4215F-S0024,digikey-footprints:Rotary_Encoder_Switched_PEC11R,PEC11R-4215F-S0024-ND
U1,L293D,Package_DIP:DIP-16_W7.62mm,
U2,FT232RL,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,768-1306-ND
U3,ATMEGA328P-AUR,digikey-footprints:TQFP-32_7x7mm,ATMEGA328P-AURCT-ND
U4,TCA39306DCUR,TCA39306DCUR:TCA39306DCUR,296-TCA39306DCURTR-ND
Y1,16 mHz,Crystal:Crystal_HC49-U_Vertical,2151-AS-16.000-20-EXT-ND
